E200	Sorbic acid	preservative
E201	Sodium sorbate	preservative
E202	Potassium sorbate	preservative
E203	Calcium sorbate	preservative
E209	Heptyl p-hydroxybenzoate	preservative
E210	Benzoic acid	preservative
E211	Sodium benzoate	preservative
E212	Potassium benzoate	preservative
E213	Calcium benzoate	preservative
E214	Ethylparaben (ethyl para-hydroxybenzoate)	preservative
E215	Sodium ethyl para-hydroxybenzoate	preservative
E216	Propylparaben (propyl para-hydroxybenzoate)	preservative
E217	Sodium propyl para-hydroxybenzoate	preservative
E218	Methylparaben (methyl para-hydroxybenzoate)	preservative
E219	Sodium methyl para-hydroxybenzoate	preservative
E220	Sulfur dioxide	preservative
E221	Sodium sulfite	preservative
E222	Sodium bisulfite (sodium hydrogen sulfite)	preservative
E223	Sodium metabisulfite	preservative
E224	Potassium metabisulfite	preservative
E225	Potassium sulfite	preservative
E226	Calcium sulfite	preservative
E227	Calcium hydrogen sulfite (preservative)	firming agent
E228	Potassium hydrogen sulfite	preservative
E230	"Biphenyl, diphenyl"	preservative
E231	Orthophenyl phenol	preservative
E232	Sodium orthophenyl phenol	preservative
E233	Thiabendazole	preservative
E234	Nisin	preservative
E235	"Natamycin, Pimaracin"	preservative
E236	Formic acid	preservative
E237	Sodium formate	preservative
E238	Calcium formate	preservative
E239	Hexamine (hexamethylene tetramine)	preservative
E240	Formaldehyde	preservative
E242	Dimethyl dicarbonate	preservative
E249	Potassium nitrite	preservative
E250	Sodium nitrite	preservative
E251	Sodium nitrate (Chile saltpetre)	preservative
E252	Potassium nitrate (Saltpetre)	preservative
E260	Acetic acid (preservative)	acidity regulator
E261	Potassium acetate (preservative)	acidity regulator
E262	"Sodium acetates: (i) Sodium acetate, (ii) Sodium diacetate (sodium hydrogen acetate)"	"preservative, acidity regulator"
E263	Calcium acetate (preservative)	acidity regulator
E264	Ammonium acetate	preservative
E265	Dehydroacetic acid	preservative
E266	Sodium dehydroacetate	preservative
E267	Buffered vinegar	preservative
E270	Lactic acid (preservative)	antioxidant
E280	Propionic acid	preservative
E281	Sodium propionate	preservative
E282	Calcium propionate	preservative
E283	Potassium propionate	preservative
E284	Boric acid	preservative
E285	Sodium tetraborate (borax)	preservative
E290	Carbon dioxide	acidity regulator
E296	Malic acid (acid)	acidity regulator
E297	Fumaric acid	acidity regulator
